Program Type,Effective From,Effective To,Standard Hours,ESK Hours,INCLUSION Additional Hours,Max Hours,Policy Reference
THREE_YEAR_OLD_KINDER,2023-07-01,2024-06-30,5,15,5,15,HOURS_POLICY_1.1_2023
THREE_YEAR_OLD_KINDER,2024-07-01,2025-06-30,7.5,15,5,15,HOURS_POLICY_1.1_2024
THREE_YEAR_OLD_KINDER,2025-07-01,2026-06-30,10,15,5,15,HOURS_POLICY_1.1_2025
PRE_PREP,2023-07-01,2024-06-30,15,15,5,15,HOURS_POLICY_1.2_2023
PRE_PREP,2024-07-01,2025-06-30,15,15,5,15,HOURS_POLICY_1.2_2024
PRE_PREP,2025-07-01,2026-06-30,15,15,5,15,HOURS_POLICY_1.2_2025
